Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-31,26.36,26.39,26.04,26.06,88102700,0.0,0.0
2010-01-04,26.4,26.53,26.27,26.47,123432400,0.0,0.0
2010-01-05,26.54,26.66,26.37,26.51,150476200,0.0,0.0
2010-01-06,26.51,26.62,26.06,26.09,138040000,0.0,0.0
2010-01-07,26.19,26.22,25.85,26.04,119282800,0.0,0.0
2010-01-08,26.01,26.22,25.85,26.22,111902700,0.0,0.0
2010-01-11,26.32,26.34,25.78,25.98,115557400,0.0,0.0
2010-01-12,25.87,25.94,25.53,25.69,148614900,0.0,0.0
2010-01-13,25.71,26.09,25.24,26.05,151473000,0.0,0.0
2010-01-14,25.98,26.03,25.85,25.9,108223500,0.0,0.0
2010-01-15,26.09,26.17,25.46,25.47,148516900,0.0,0.0
2010-01-19,25.76,26.61,25.63,26.59,182501900,0.0,0.0
2010-01-20,26.58,26.66,25.91,26.18,153038200,0.0,0.0
2010-01-21,26.23,26.38,25.63,25.73,152038600,0.0,0.0
2010-01-22,25.57,25.66,24.38,24.46,220441900,0.0,0.0
2010-01-25,25.04,25.32,24.76,25.11,266424900,0.0,0.0
2010-01-26,25.47,26.43,25.05,25.47,466777500,0.0,0.0
2010-01-27,25.58,26.04,24.68,25.71,430642100,0.0,0.0
2010-01-28,25.34,25.41,24.57,24.65,293375600,0.0,0.0
2010-01-29,24.87,25.01,23.53,23.75,311488100,0.0,0.0
2010-02-01,23.79,24.24,23.66,24.08,187469100,0.0,0.0
2010-02-02,24.23,24.28,23.92,24.22,174585600,0.0,0.0
2010-02-03,24.14,24.76,24.04,24.64,153832000,0.0,0.0
2010-02-04,24.33,24.53,23.69,23.75,189413000,0.0,0.0
