Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-12-31,41.72,42.36,41.47,41.47,21552500,0.0,0
2015-01-02,41.66,42.34,41.55,41.75,27913900,0.0,0
2015-01-05,41.4,41.72,41.29,41.36,39673900,0.0,0
2015-01-06,41.41,41.74,40.66,40.76,36447900,0.0,0
2015-01-07,41.05,41.48,40.61,41.28,29114100,0.0,0
2015-01-08,41.74,42.63,41.71,42.49,29645200,0.0,0
2015-01-09,42.51,42.69,41.87,42.13,23944200,0.0,0
2015-01-12,42.34,42.44,41.39,41.61,23651900,0.0,0
2015-01-13,41.94,42.78,41.12,41.39,35270600,0.0,0
2015-01-14,41.03,41.28,40.73,41.03,29719600,0.0,0
2015-01-15,41.27,41.41,40.54,40.61,32750800,0.0,0
2015-01-16,40.45,41.32,40.33,41.28,35695300,0.0,0
2015-01-20,41.34,41.65,40.69,41.42,36161900,0.0,0
2015-01-21,41.02,41.2,40.61,41.0,39081100,0.0,0
2015-01-22,41.41,42.09,41.14,42.08,35898000,0.0,0
2015-01-23,42.28,42.31,41.78,42.12,26211600,0.0,0
2015-01-26,41.96,42.08,41.28,41.97,42525500,0.0,0
2015-01-27,38.35,38.57,37.6,38.09,169164000,0.0,0
2015-01-28,38.16,38.2,36.75,36.78,84507100,0.0,0
2015-01-29,36.54,37.61,36.42,37.51,63585300,0.0,0
2015-01-30,37.1,37.12,36.03,36.07,78004900,0.0,0
2015-02-02,36.24,36.94,35.92,36.86,50352500,0.0,0
2015-02-03,37.17,37.44,36.65,37.14,52082400,0.0,0
2015-02-04,37.45,37.69,36.93,37.36,41614800,0.0,0
2015-02-05,37.7,38.07,37.37,37.9,36548200,0.0,0
2015-02-06,38.11,38.2,37.63,37.86,34616600,0.0,0
2015-02-09,37.71,38.16,37.69,37.82,31381100,0.0,0
2015-02-10,38.16,38.19,37.66,38.03,29670700,0.0,0
2015-02-11,38.08,38.08,37.69,37.84,38262500,0.0,0
2015-02-12,38.09,38.47,37.95,38.47,33268800,0.0,0
2015-02-13,38.73,39.17,38.53,39.17,40264900,0.0,0
2015-02-17,39.54,39.56,38.84,39.19,33695700,0.31,0
2015-02-18,39.23,39.29,39.02,39.14,27111700,0.0,0
2015-02-19,38.83,39.14,38.71,39.11,27603400,0.0,0
2015-02-20,39.12,39.46,38.93,39.44,29721100,0.0,0
2015-02-23,39.29,39.73,39.25,39.7,32518800,0.0,0
2015-02-24,39.7,39.83,39.49,39.64,25271700,0.0,0
2015-02-25,39.52,39.64,39.38,39.55,29759800,0.0,0
2015-02-26,39.55,39.77,39.47,39.62,28957300,0.0,0
2015-02-27,39.68,39.74,39.26,39.43,33807700,0.0,0
2015-03-02,39.27,39.73,39.16,39.46,31924000,0.0,0
2015-03-03,39.17,39.41,38.75,38.92,31748600,0.0,0
2015-03-04,38.67,38.85,38.56,38.72,25748700,0.0,0
2015-03-05,38.73,38.88,38.5,38.76,23193500,0.0,0
2015-03-06,38.66,38.76,37.9,38.09,36248800,0.0,0
2015-03-09,37.94,38.78,37.94,38.53,32108000,0.0,0
2015-03-10,38.08,38.4,37.79,37.79,39159700,0.0,0
2015-03-11,38.04,38.1,37.62,37.75,32215300,0.0,0
2015-03-12,37.16,37.45,36.74,36.88,59992500,0.0,0
2015-03-13,36.6,37.29,36.52,37.21,58007700,0.0,0
2015-03-16,37.29,37.44,37.12,37.37,35273500,0.0,0
2015-03-17,37.2,37.61,37.0,37.5,31673400,0.0,0
2015-03-18,37.25,38.51,37.16,38.22,44194800,0.0,0
2015-03-19,38.0,38.3,37.96,38.03,33879100,0.0,0
2015-03-20,38.27,38.65,38.21,38.56,71904500,0.0,0
2015-03-23,38.56,38.78,38.47,38.54,26246100,0.0,0
2015-03-24,38.47,38.82,38.44,38.57,25513300,0.0,0
2015-03-25,38.59,38.6,37.26,37.28,43469900,0.0,0
2015-03-26,37.06,37.41,36.79,37.06,37495600,0.0,0
2015-03-27,36.97,37.25,36.71,36.84,34401400,0.0,0
2015-03-30,36.96,37.35,36.79,36.83,35049700,0.0,0
2015-03-31,36.67,36.89,36.45,36.56,34887200,0.0,0
2015-04-01,36.51,36.65,36.25,36.61,36865300,0.0,0
2015-04-02,36.56,36.63,36.08,36.23,37487500,0.0,0
2015-04-06,36.27,37.57,36.13,37.36,39223700,0.0,0
2015-04-07,37.41,37.68,37.15,37.34,28809400,0.0,0
2015-04-08,37.28,37.49,36.9,37.24,24753400,0.0,0
2015-04-09,37.09,37.42,37.09,37.3,25723900,0.0,0
2015-04-10,37.43,37.72,37.24,37.51,28022000,0.0,0
2015-04-13,37.23,37.82,37.22,37.55,30276700,0.0,0
2015-04-14,37.59,37.79,37.22,37.45,24244400,0.0,0
2015-04-15,37.55,38.18,37.48,38.0,27343600,0.0,0
